n,depth,Time (s),TPU,TPL,Normalized Depth,Normalized TPU,Normalized TPL,Union-Find Class,Path Compression
551,1,0.006872653961181641,331,881,0.0018148820326678765,0.6007259528130672,1.5989110707803993,UnionWeight,PS
561,1,0.00707697868347168,326,886,0.0017825311942959,0.5811051693404634,1.5793226381461676,UnionWeight,PS
571,1,0.007054805755615234,340,910,0.0017513134851138354,0.5954465849387041,1.5936952714535901,UnionWeight,PS
581,2,0.007300138473510742,342,922,0.0034423407917383822,0.5886402753872634,1.5869191049913942,UnionWeight,PS
591,1,0.007314920425415039,358,948,0.001692047377326565,0.6057529610829103,1.6040609137055837,UnionWeight,PS
601,1,0.007506847381591797,351,951,0.0016638935108153079,0.5840266222961731,1.5823627287853577,UnionWeight,PS
611,2,0.007510185241699219,379,989,0.0032733224222585926,0.6202945990180033,1.618657937806874,UnionWeight,PS
621,2,0.007863044738769531,417,1037,0.00322061191626409,0.6714975845410628,1.6698872785829308,UnionWeight,PS
631,2,0.00789189338684082,417,1047,0.003169572107765452,0.6608557844690967,1.6592709984152139,UnionWeight,PS
641,1,0.008099079132080078,407,1047,0.0015600624024961,0.6349453978159126,1.6333853354134165,UnionWeight,PS
651,2,0.007922887802124023,396,1046,0.0030721966205837174,0.6082949308755761,1.6067588325652842,UnionWeight,PS
661,1,0.008235931396484375,395,1055,0.0015128593040847202,0.5975794251134644,1.5960665658093798,UnionWeight,PS
671,2,0.008237123489379883,434,1104,0.0029806259314456036,0.646795827123696,1.645305514157973,UnionWeight,PS
681,2,0.008434057235717773,423,1103,0.002936857562408223,0.6211453744493393,1.619676945668135,UnionWeight,PS
691,1,0.008367061614990234,418,1108,0.001447178002894356,0.6049204052098408,1.6034732272069465,UnionWeight,PS
701,2,0.008581161499023438,425,1125,0.0028530670470756064,0.6062767475035663,1.6048502139800285,UnionWeight,PS
711,2,0.00860905647277832,435,1145,0.0028129395218002813,0.6118143459915611,1.610407876230661,UnionWeight,PS
721,1,0.008793115615844727,458,1178,0.0013869625520110957,0.6352288488210819,1.6338418862690707,UnionWeight,PS
731,2,0.008734941482543945,436,1166,0.0027359781121751026,0.5964432284541724,1.5950752393980847,UnionWeight,PS
741,2,0.009025096893310547,454,1194,0.002699055330634278,0.6126855600539811,1.611336032388664,UnionWeight,PS
